frame;type;from_wall
17;Serve;0
47;Backhand;0
102;Smash;0
116;Backhand;0
134;Forehand;0
164;Forehand;0
258;Smash;0
274;Forehand;0
297;Forehand;0
330;Smash;0
368;Forehand;0
384;Forehand;0
405;Forehand;0
422;Backhand;0
447;Backhand;0
481;Smash;0
494;Forehand;0
515;Backhand;0
579;Forehand;0
604;Backhand;0
631;Forehand;0
681;Smash;0
709;Backhand;0
749;Backhand;0
762;Backhand;0
804;Backhand;0
815;Backhand;0
847;Smash;0
888;Backhand;0
911;Backhand;0
940;Forehand;0
992;Smash;0
1004;Backhand;0
1021;Backhand;0
1060;Forehand;0
1130;Forehand;0
1143;Backhand;0
1163;Backhand;0
