frame;type;from_wall
51;Serve;0
84;Backhand;0
103;Backhand;0
142;Forehand;0
157;Backhand;0
171;Backhand;0
209;Smash;0
228;Backhand;0
275;Forehand;0
309;Smash;0
331;Forehand;0
355;Forehand;0
380;Forehand;0
422;Backhand;0
461;Smash;0
493;Backhand;0
540;Smash;0
583;Other;0
612;Forehand;0
654;Smash;0
699;Forehand;0
721;Backhand;0
757;Backhand;0
772;Forehand;0
802;Forehand;0
882;Forehand;0
928;Other;0
958;Forehand;0
993;Smash;0
1026;Backhand;0
1101;Backhand;0
1164;Smash;0
1187;Backhand;0
1215;Backhand;0
1247;Backhand;0
1316;Forehand;0
1344;Backhand;0
1380;Backhand;0
1445;Forehand;0
1499;Smash;0
1516;Backhand;0
1533;Forehand;0
1557;Forehand;0
1603;Smash;0
1636;Forehand;0
1655;Backhand;0
1667;Forehand;0
1689;Forehand;0
1720;Backhand;0
