frame;type;from_wall
31;Other;0
59;Other;0
127;Other;0
142;Other;0
158;Forehand;0
228;Smash;0
283;Forehand;0
328;Smash;0
338;Forehand;0
369;Backhand;0
403;Smash;0
418;Other;0
447;Backhand;0
481;Forehand;0
512;Smash;0
555;Forehand;0
573;Backhand;0
611;Backhand;0
645;Smash;0
681;Backhand;0
717;Smash;0
759;Forehand;0
773;Backhand;0
810;Forehand;0
829;Backhand;0
852;Backhand;0
864;Backhand;0
876;Other;0
947;Forehand;0
1009;Smash;0
1049;Other;0
1096;Smash;0
1159;Smash;0
1198;Smash;0
