frame;type;from_wall
12;Serve;0
45;Backhand;0
89;Smash;0
127;Backhand;0
186;Smash;0
213;Backhand;0
249;Smash;0
257;Backhand;0
272;Forehand;0
298;Backhand;0
350;Other;0
369;Backhand;0
399;Forehand;0
439;Backhand;0
461;Forehand;0
491;Smash;0
506;Forehand;0
533;Forehand;0
584;Smash;0
605;Forehand;0
625;Forehand;0
642;Forehand;0
709;Forehand;0
766;Smash;0
785;Forehand;0
809;Backhand;0
840;Smash;0
889;Forehand;0
978;Smash;0
994;Backhand;0
1015;Forehand;0
1027;Forehand;0
1059;Smash;0
1092;Forehand;0
1135;Smash;0
1151;Backhand;0
1164;Backhand;0
1176;Backhand;0
1198;Smash;0
1211;Backhand;0
1238;Smash;0
1249;Backhand;0
