frame;type;from_wall
19;Serve;0
44;Forehand;0
63;Forehand;0
84;Backhand;0
128;Smash;0
171;Backhand;0
229;Smash;0
270;Forehand;0
326;Smash;0
351;Backhand;0
367;Forehand;0
396;Forehand;0
414;Forehand;0
446;Backhand;0
464;Backhand;0
488;Backhand;0
519;Backhand;0
559;Forehand;0
588;Other;0
616;Smash;0
629;Backhand;0
644;Backhand;0
710;Forehand;0
747;Other;0
773;Other;0
780;Smash;0
791;Forehand;0
832;Forehand;0
904;Forehand;0
918;Backhand;0
945;Forehand;0
965;Backhand;0
997;Forehand;0
1039;Smash;0
1074;Forehand;0
1109;Smash;0
1140;Backhand;0
1189;Smash;0
1239;Forehand;0
1294;Smash;0
1301;Backhand;0
1318;Forehand;0
1336;Forehand;0
1371;Forehand;0
1385;Other;0
1405;Smash;0
1468;Forehand;0
1485;Backhand;0
1497;Forehand;0
1517;Smash;0
1605;Forehand;0
1623;Forehand;0
1661;Smash;0
1707;Forehand;0
1725;Forehand;0
1738;Forehand;0
1753;Backhand;0
1766;Forehand;0
