frame;type;from_wall
21;Serve;0
47;Forehand;0
104;Smash;0
138;Backhand;0
213;Smash;0
255;Forehand;0
285;Smash;0
323;Forehand;0
339;Forehand;0
360;Forehand;0
398;Smash;0
435;Forehand;0
452;Forehand;0
483;Forehand;0
554;Backhand;0
589;Smash;0
636;Forehand;0
659;Forehand;0
687;Forehand;0
772;Smash;0
789;Backhand;0
809;Forehand;0
851;Smash;0
871;Backhand;0
909;Forehand;0
971;Smash;0
1011;Backhand;0
1056;Smash;0
1091;Forehand;0
1113;Backhand;0
1148;Smash;0
1161;Backhand;0
1194;Backhand;0
1232;Smash;0
1265;Forehand;0
1305;Smash;0
1332;Backhand;0
1350;Backhand;0
1376;Forehand;0
1417;Smash;0
1442;Backhand;0
1475;Forehand;0
1503;Forehand;0
1557;Smash;0
1570;Backhand;0
1585;Backhand;0
1622;Backhand;0
1638;Smash;0
1665;Backhand;0
1699;Smash;0
1744;Forehand;0
1803;Other;0
1828;Smash;0
1842;Forehand;0
