frame;type;from_wall
25;Serve;0
58;Backhand;0
72;Other;0
99;Smash;0
121;Backhand;0
160;Smash;0
181;Backhand;0
199;Backhand;0
232;Backhand;0
246;Backhand;0
283;Forehand;0
297;Backhand;0
321;Forehand;0
392;Other;0
423;Forehand;0
499;Smash;0
526;Backhand;0
559;Smash;0
583;Backhand;0
615;Smash;0
643;Backhand;0
676;Forehand;0
713;Smash;0
748;Forehand;0
795;Smash;0
832;Backhand;0
867;Smash;0
893;Forehand;0
939;Smash;0
958;Forehand;0
995;Other;0
1027;Backhand;0
1106;Smash;0
1124;Other;0
1155;Forehand;0
1166;Other;0
1192;Forehand;0
1212;Backhand;0
1273;Backhand;0
1307;Smash;0
1318;Backhand;0
1353;Forehand;0
1374;Backhand;0
1394;Forehand;0
