frame;type;from_wall
15;Serve;0
49;Forehand;0
92;Smash;0
117;Backhand;0
171;Smash;0
209;Other;0
236;Forehand;0
277;Smash;0
291;Backhand;0
311;Forehand;0
320;Backhand;0
342;Forehand;0
350;Backhand;0
376;Forehand;0
421;Smash;0
455;Forehand;0
504;Smash;0
545;Forehand;0
575;Forehand;0
607;Backhand;0
651;Smash;0
674;Forehand;0
696;Forehand;0
721;Backhand;0
758;Smash;0
789;Forehand;0
827;Smash;0
844;Backhand;0
870;Forehand;0
951;Forehand;0
1029;Forehand;0
1066;Forehand;0
1091;Backhand;0
1121;Forehand;0
1141;Backhand;0
1172;Forehand;0
1248;Forehand;0
1288;Smash;0
1312;Forehand;0
1334;Forehand;0
1368;Forehand;0
1420;Smash;0
1461;Backhand;0
1479;Forehand;0
1508;Backhand;0
1529;Forehand;0
