frame;type;from_wall
10;Serve;0
35;Backhand;0
57;Forehand;0
93;Backhand;0
125;Smash;0
135;Backhand;0
165;Backhand;0
191;Backhand;0
216;Forehand;0
250;Forehand;0
323;Forehand;0
358;Forehand;0
377;Backhand;0
419;Backhand;0
437;Backhand;0
461;Forehand;0
522;Smash;0
546;Forehand;0
573;Backhand;0
582;Backhand;0
595;Smash;0
619;Backhand;0
649;Forehand;0
657;Other;0
704;Smash;0
744;Forehand;0
804;Smash;0
832;Backhand;0
854;Backhand;0
894;Forehand;0
959;Other;0
993;Smash;0
1008;Forehand;0
1030;Forehand;0
1048;Backhand;0
1083;Forehand;0
1116;Smash;0
1150;Forehand;0
1215;Smash;0
