frame;type;from_wall
7;Serve;0
31;Backhand;0
48;Backhand;0
83;Forehand;0
116;Smash;0
152;Backhand;0
168;Backhand;0
198;Backhand;0
218;Backhand;0
233;Backhand;0
295;Backhand;0
345;Smash;0
368;Forehand;0
390;Forehand;0
418;Forehand;0
469;Smash;0
517;Smash;0
549;Forehand;0
597;Forehand;0
651;Smash;0
690;Backhand;0
703;Forehand;0
713;Backhand;0
770;Forehand;0
794;Backhand;0
813;Backhand;0
847;Forehand;0
858;Other;0
891;Backhand;0
925;Forehand;0
983;Other;0
1011;Smash;0
1027;Backhand;0
1043;Other;0
1054;Backhand;0
1069;Forehand;0
1084;Backhand;0
