frame;type;from_wall
10;Serve;0
37;Backhand;0
54;Forehand;0
87;Backhand;0
106;Forehand;0
127;Forehand;0
144;Backhand;0
172;Forehand;0
228;Smash;0
269;Forehand;0
317;Smash;0
345;Forehand;0
420;Forehand;0
501;Forehand;0
514;Backhand;0
550;Forehand;0
568;Backhand;0
592;Smash;0
609;Backhand;0
669;Backhand;0
734;Forehand;0
747;Forehand;0
758;Backhand;0
779;Backhand;0
790;Backhand;0
806;Backhand;0
832;Backhand;0
852;Forehand;0
890;Forehand;0
957;Forehand;0
998;Smash;0
1016;Forehand;0
1048;Forehand;0
1068;Forehand;0
1112;Other;0
