frame;type;from_wall
64;Serve;0
95;Backhand;0
117;Forehand;0
145;Forehand;0
203;Smash;0
231;Forehand;0
281;Smash;0
323;Backhand;0
343;Forehand;0
380;Forehand;0
426;Smash;0
467;Backhand;0
526;Smash;0
565;Backhand;0
608;Smash;0
656;Forehand;0
714;Smash;0
746;Backhand;0
786;Smash;0
823;Forehand;0
858;Smash;0
878;Other;0
906;Forehand;0
976;Forehand;0
1051;Forehand;0
1065;Backhand;0
1112;Forehand;0
1191;Smash;0
1226;Other;0
1266;Forehand;0
1291;Backhand;0
1325;Smash;0
1355;Backhand;0
1407;Smash;0
