frame;type;from_wall
13;Serve;0
39;Backhand;0
53;Backhand;0
84;Forehand;0
135;Smash;0
174;Forehand;0
228;Smash;0
258;Backhand;0
312;Smash;0
324;Forehand;0
343;Backhand;0
377;Smash;0
402;Forehand;0
427;Backhand;0
467;Smash;0
529;Backhand;0
546;Forehand;0
566;Forehand;0
590;Backhand;0
640;Smash;0
667;Forehand;0
721;Smash;0
761;Forehand;0
778;Backhand;0
808;Forehand;0
847;Smash;0
863;Other;0
881;Backhand;0
960;Smash;0
995;Forehand;0
1041;Smash;0
1067;Backhand;0
1084;Forehand;0
1107;Backhand;0
1119;Backhand;0
1134;Forehand;0
1161;Smash;0
