frame;type;from_wall
17;Serve;0
41;Backhand;0
62;Forehand;0
94;Forehand;0
147;Smash;0
169;Forehand;0
186;Forehand;0
213;Forehand;0
267;Smash;0
308;Backhand;0
354;Other;0
383;Backhand;0
396;Backhand;0
434;Forehand;0
467;Smash;0
484;Forehand;0
523;Forehand;0
569;Smash;0
608;Forehand;0
648;Smash;0
692;Forehand;0
727;Backhand;0
752;Backhand;0
784;Smash;0
796;Forehand;0
803;Other;0
817;Backhand;0
830;Forehand;0
842;Forehand;0
862;Forehand;0
879;Forehand;0
901;Backhand;0
942;Smash;0
983;Forehand;0
1005;Forehand;0
1044;Backhand;0
1115;Backhand;0
1177;Other;0
1206;Smash;0
1219;Other;0
