frame;type;from_wall
43;Serve;0
81;Backhand;0
134;Smash;0
173;Backhand;0
208;Smash;0
239;Forehand;0
271;Smash;0
312;Forehand;0
393;Smash;0
410;Forehand;0
437;Backhand;0
489;Smash;0
538;Forehand;0
579;Smash;0
595;Backhand;0
614;Smash;0
645;Other;0
666;Backhand;0
707;Backhand;0
748;Smash;0
788;Backhand;0
816;Forehand;0
842;Backhand;0
858;Forehand;0
882;Backhand;0
945;Forehand;0
964;Forehand;0
988;Backhand;0
1021;Smash;0
1053;Backhand;0
1106;Smash;0
1145;Forehand;0
1209;Forehand;0
1224;Forehand;0
1258;Forehand;0
1294;Smash;0
