frame;type;from_wall
42;Serve;0
65;Backhand;0
88;Forehand;0
117;Backhand;0
164;Smash;0
192;Forehand;0
232;Smash;0
299;Forehand;0
328;Backhand;0
345;Forehand;0
376;Backhand;0
393;Forehand;0
404;Backhand;0
426;Backhand;0
450;Forehand;0
463;Other;0
505;Smash;0
528;Forehand;0
546;Forehand;0
590;Forehand;0
651;Smash;0
702;Forehand;0
747;Smash;0
777;Forehand;0
800;Forehand;0
831;Backhand;0
851;Backhand;0
881;Backhand;0
895;Backhand;0
932;Forehand;0
1022;Backhand;0
1054;Smash;0
1072;Other;0
