frame;type;from_wall
11;Serve;0
37;Backhand;0
58;Backhand;0
88;Forehand;0
137;Smash;0
186;Backhand;0
209;Backhand;0
231;Backhand;0
265;Smash;0
306;Forehand;0
327;Backhand;0
344;Forehand;0
410;Forehand;0
475;Smash;0
498;Forehand;0
542;Smash;0
587;Backhand;0
650;Smash;0
691;Forehand;0
723;Smash;0
743;Backhand;0
761;Forehand;0
768;Backhand;0
807;Smash;0
834;Forehand;0
908;Forehand;0
969;Forehand;0
987;Forehand;0
1038;Forehand;0
1097;Smash;0
1151;Backhand;0
1187;Forehand;0
1267;Smash;0
1282;Forehand;0
1312;Forehand;0
1336;Backhand;0
1366;Backhand;0
1433;Forehand;0
1476;Smash;0
1500;Backhand;0
1517;Backhand;0
1534;Forehand;0
1551;Backhand;0
1575;Forehand;0
1595;Forehand;0
1647;Forehand;0
1663;Backhand;0
